Date,Open,High,Low,Close
20-October-2003,1071.12,1071.12,1037.31,1042.13,
21-October-2003,1046.39,1048.55,1010.53,1016.25,
22-October-2003,1020.16,1025.43,990.52,996.78,
23-October-2003,1002.80,1010.80,984.87,987.10,
24-October-2003,992.26,1029.50,990.79,1024.31,
25-October-2003,1036.90,1040.39,1030.25,1033.44,
27-October-2003,1031.59,1031.59,998.20,1000.01,
28-October-2003,1006.19,1027.94,1001.63,1019.58,
29-October-2003,1031.80,1036.67,1020.33,1034.08,
30-October-2003,1039.97,1052.52,1035.98,1044.12,
31-October-2003,1042.79,1078.67,1040.61,1077.09,
3-November-2003,1082.89,1116.43,1082.89,1112.11,
4-November-2003,1131.12,1146.42,1122.68,1127.66,
5-November-2003,1132.68,1135.39,1109.99,1123.59,
6-November-2003,1125.02,1150.56,1125.01,1139.45,
7-November-2003,1148.70,1151.86,1112.04,1114.99,
10-November-2003,1111.19,1119.75,1091.09,1114.65,
11-November-2003,1108.88,1121.55,1103.16,1117.41,
12-November-2003,1120.87,1127.92,1110.11,1113.48,
13-November-2003,1126.72,1131.74,1083.29,1088.20,
14-November-2003,1091.43,1097.05,1064.77,1068.77,
15-November-2003,1068.42,1077.46,1061.01,1072.79,
17-November-2003,1067.64,1086.07,1067.64,1078.33,
18-November-2003,1084.28,1096.48,1067.83,1074.79,
19-November-2003,1068.44,1084.26,1062.78,1072.51,
20-November-2003,1082.29,1090.78,1060.63,1063.03,
21-November-2003,1063.90,1081.84,1057.07,1079.47,
24-November-2003,1077.91,1083.30,1067.73,1077.89,
25-November-2003,1089.81,1098.61,1089.42,1097.16,
27-November-2003,1101.18,1136.29,1101.18,1132.15,
28-November-2003,1136.79,1150.42,1133.14,1145.16,
1-December-2003,1158.26,1198.61,1158.26,1195.32,
2-December-2003,1208.28,1210.49,1172.23,1187.24,
3-December-2003,1187.59,1189.39,1176.99,1181.18,
4-December-2003,1181.81,1189.38,1166.96,1179.77,
5-December-2003,1181.80,1182.66,1143.24,1146.04,
8-December-2003,1143.61,1156.48,1138.59,1153.12,
9-December-2003,1158.62,1177.82,1158.62,1175.36,
10-December-2003,1173.46,1185.56,1164.30,1177.07,
11-December-2003,1184.20,1187.51,1167.80,1175.80,
12-December-2003,1188.53,1192.37,1176.79,1184.89,
15-December-2003,1199.32,1218.74,1199.32,1216.48,
16-December-2003,1211.73,1224.02,1199.48,1221.58,
